"","answer","Relative","Foil1","Foil2","Foil3","Set","Target","vowel","voicing","place","manner","Foil1_Cons","Foil2_Cons","Foil3_Cons","Contrast1","Contrast2","Contrast3","TargetBroadManner","Foil1BroadManner","Foil2BroadManner","Foil3BroadManner","TargetARPABET","Foil1ARPABET","Foil2ARPABET","Foil3ARPABET","Relative_Easiness","Base-Ease","numVoicingFoils","numPlaceFoils","numMannerFoils","numMultiFoils"
"90","that",-0.942,"vat","cat","sat",11,"dh","LF","voiced","dental","fricative","V","K","S","Place","3Features","2Features","Fricative","Fricative","Stop","Fricative","DH","V","K","S",-0.936,-1.587,0,1,0,2
"91","thatch",-0.331,"patch","match","batch",4,"th","LF","voiceless","dental","fricative","P","M","B","2Features","3Features","3Features","Fricative","Stop","Sonorant","Stop","TH","P","M","B",-0.267,-0.692,0,0,0,3
"92","then",0.723,"ken","pen","zen",21,"dh","LF","voiced","dental","fricative","K","P","Z","3Features","3Features","Place","Fricative","Stop","Stop","Fricative","DH","K","P","Z",0.73,0.11,0,1,0,2
"93","thin",0.398,"sin","shin","kin",22,"th","HF","voiceless","dental","fricative","S","SH","K","Place","Place","2Features","Fricative","Fricative","Fricative","Stop","TH","S","SH","K",0.234,0.206,0,2,0,1
"94","thing",0.998,"king","ping","zing",23,"th","HF","voiceless","dental","fricative","K","P","Z","2Features","2Features","2Features","Fricative","Stop","Stop","Fricative","TH","K","P","Z",1.119,1.135,0,0,0,3
"95","thong",0.761,"pong","tong","song",30,"th","LB","voiceless","dental","fricative","P","T","S","2Features","2Features","Place","Fricative","Stop","Stop","Fricative","TH","P","T","S",0.741,-0.165,0,1,0,2
"96","thought",-0.784,"caught","taught","fought",12,"th","LB","voiceless","dental","fricative","K","T","F","2Features","2Features","Place","Fricative","Stop","Stop","Fricative","TH","K","T","F",-0.805,-1.738,0,1,0,2
"97","tier",0.603,"beer","gear","dear",5,"t","HF","voiceless","alveolar","stop","B","G","D","2Features","2Features","Voicing","Stop","Stop","Stop","Stop","T","B","G","D",0.743,1.482,1,0,0,2
"98","till",0.333,"bill","gill","dill",6,"t","HF","voiceless","alveolar","stop","B","G","D","2Features","2Features","Voicing","Stop","Stop","Stop","Stop","T","B","G","D",0.475,1.197,1,0,0,2
"99","tong",-0.567,"pong","thong","song",30,"t","LB","voiceless","alveolar","stop","P","TH","S","Place","2Features","Manner","Stop","Stop","Fricative","Fricative","T","P","TH","S",-0.631,-0.814,0,1,1,1
